icao24,origin_country,velocity,on_ground
a89cf0,United States,66.54,False
44001c,Austria,2.06,True
44001b,Austria,91.41,False
a4b06c,United States,233.8,False
a4d65c,United States,143.26,False
70a8eb,Nepal,131.86,False
adfe95,United States,131.68,False
a97626,United States,193.98,False
70a8ee,Nepal,115.33,False
accb65,United States,233.27,False
70a8e7,Nepal,160.92,False
3c4a8b,Germany,133.51,False
4068b3,United Kingdom,42.14,False
a9d932,United States,57.44,False
8960fb,United Arab Emirates,3.6,True
344197,Spain,193.05,False
344195,Spain,225.99,False
a86981,United States,46.64,False
a04e60,United States,240.78,False
a8b926,United States,225.07,False
8960e7,United Arab Emirates,246.29,False
ab2729,United States,231.91,False
8960dc,United Arab Emirates,245.36,False
a28e0b,United States,223.12,False
a74992,United States,233.22,False
a1be10,United States,236.98,False
3ffa11,Germany,49.49,False
8003b1,India,149.94,False
89611c,United Arab Emirates,1.03,True
804c36,India,229.07,False
8003b3,India,241.58,False
47c1c2,Norway,91.64,False
8016db,India,78.2,False
a39b39,United States,209.42,False
a1be72,United States,6.43,True
405636,United Kingdom,195.53,False
405638,United Kingdom,193.55,False
a2cb14,United States,212.38,False
4891b2,Poland,211.98,False
781b5c,China,196.63,False
8016ad,India,79.75,False
45ca65,Denmark,95.78,False
896114,United Arab Emirates,192.38,False
8016bc,India,148.09,False
4891ab,Poland,105.15,False
a4e8ef,United States,233.46,False
8016c9,India,153.13,False
4891b6,Poland,84.95,False
4784fd,Norway,117.51,False
345595,Spain,3.86,True
3e5671,Germany,159.42,False
345597,Spain,232.87,False
3d367f,Germany,49.84,False
a365b7,United States,202.47,False
3d1047,Germany,53.52,False
a03b6d,United States,0.06,True
8016ca,India,251.34,False
a9b375,United States,51.01,False
a2de1f,United States,157.12,False
5001df,San Marino,138.43,False
ac8e1d,United States,204.36,False
8016cb,India,214.41,False
406948,United Kingdom,243.18,False
8016d7,India,178.2,False
a15b4c,United States,230.55,False
345583,Spain,227.13,False
471d62,Hungary,208.26,False
e49caa,Brazil,79.13,False
e49cac,Brazil,237.36,False
471d61,Hungary,157.17,False
471d66,Hungary,202.42,False
458d99,Denmark,60.6,False
471d64,Hungary,85.26,False
471d65,Hungary,237.87,False
a95044,United States,186.88,False
ab12b0,United States,220.13,False
e4a61b,Brazil,4.12,True
ab5b2b,United States,201.77,False
84715c,Japan,173.85,False
a12701,United States,52.69,False
a2de7e,United States,195.73,False
471d5a,Hungary,215.88,False
471d5b,Hungary,213.46,False
471d5c,Hungary,84.1,False
a3c8cb,United States,205.54,False
847183,Japan,319.47,False
345558,Spain,221.3,False
403003,United Kingdom,27.34,False
a1be90,United States,48.43,False
c07a7c,Canada,171.68,False
344216,Spain,185.44,False
344217,Spain,130.63,False
344218,Spain,236.23,False
345543,Spain,187.6,False
c1ea38,Canada,0.51,True
8470a0,Japan,97.44,False
3d108e,Germany,38.41,False
a12731,United States,213.62,False
a77e97,United States,227.35,False
a9c5c5,United States,189.53,False
ac8cf1,United States,110.11,False
89619a,United Arab Emirates,268.77,False
c044f2,Canada,41.7,False
c044f3,Canada,31.33,False
c07a40,Canada,46.77,False
ada302,United States,254.89,False
a16db9,United States,150.73,False
a12747,United States,37.1,False
801808,India,56.45,False
801806,India,248.78,False
8a05cd,Indonesia,154.35,False
a1272f,United States,224.97,False
8a05d6,Indonesia,226.1,False
8626cc,Japan,130.16,False
ac468d,United States,0.0,True
a12711,United States,233.15,False
89617a,United Arab Emirates,248.74,False
896197,United Arab Emirates,249.55,False
896196,United Arab Emirates,247.25,False
896195,United Arab Emirates,238.2,False
a04da8,United States,86.02,False
a8b8f0,United States,130.58,False
4a3122,Romania,9.77,True
8a05c4,Indonesia,68.04,False
a8a5bf,United States,50.86,False
89618b,United Arab Emirates,254.56,False
a1270f,United States,216.59,False
ac337e,United States,186.6,False
ad5379,United States,139.78,False
80182a,India,78.2,False
a24757,United States,226.28,False
3d1058,Germany,89.05,False
801838,India,69.12,False
c044b2,Canada,133.59,False
a4c2ad,United States,226.8,False
896177,United Arab Emirates,231.11,False
80182f,India,196.67,False
a0f427,United States,263.54,False
80182d,India,235.65,False
4adada,Sweden,64.91,False
801848,India,78.97,False
a48713,United States,0.0,True
801849,India,203.14,False
adb65b,United States,233.97,False
896184,United Arab Emirates,210.01,False
505d2e,Slovakia,66.51,False
a3a2f8,United States,91.7,False
a1276f,United States,35.24,False
a988da,United States,36.88,False
896180,United Arab Emirates,256.27,False
c07a0f,Canada,254.43,False
a9b39e,United States,215.57,False
505d66,Slovakia,0.0,True
a12755,United States,233.83,False
a12756,United States,242.2,False
40690d,United Kingdom,4.12,True
ac2082,United States,199.71,False
40690c,United Kingdom,137.32,False
841c48,Japan,277.87,False
80180b,India,96.96,False
c044be,Canada,162.43,False
80180e,India,0.0,True
a722b1,United States,226.2,False
